0,1,2,3,4,5,6,7,8,9,10
Alacak Çekleri Giriş Bordrosu - Receivable Check Entry,Alacak Çekleri Giriş Bordrosu - Receivable Check Entry,Alacak Çekleri Giriş Bordrosu - Receivable Check Entry,Alacak Çekleri Giriş Bordrosu - Receivable Check Entry,Alacak Çekleri Giriş Bordrosu - Receivable Check Entry,Alacak Çekleri Giriş Bordrosu - Receivable Check Entry,Alacak Çekleri Giriş Bordrosu - Receivable Check Entry,,,,
Alan Adı,Alan adı (İng),Tip,Boyut,Öndeğer,Zorunlu mu?,Tekil mi?,Filtrelenebilir mi?,Sıralama Kriteri**,Düzenlenebilir mi?,Bilgi Grubu
Hareket Seri,Movement Serial,Alfenumerik String,3,"İŞ KURALI :Seri Tanımlaması yok ise Standart A serisi gelecek.Kullanıcı Seri tanımlaması yapmış ve varsayılan seri seçmemiş ise ""Seçiniz"" değeri gelecek.Kullanıcı Seri tanımlaması yapmış ve varsayılan seri tanımlamış ise ilgili seri değeri gelecek.",Zorunlu,,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Genel Bilgiler
Hareket Belge No,Movement Doc Nr,Alfenumerik String,10,İŞ KURALI : Her yeni kayıtta Seri No alanında seçilen seriye göre sistem tarafından 1 artırılır.,Zorunlu,Tekil (Seri Bazında),Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Genel Bilgiler
Tarih,Date,Date,,Öndeğer olarak sistemdeki işlem tarihi gelir,Zorunlu,,Filtrelenebilir,"""Artan"" veya ""Azalan""",Evet,Genel Bilgiler
Saat,Time,Time,,Öndeğer olarak sistemdeki işlem saati gelir,Zorunlu,,,,Evet,Genel Bilgiler
Hareket Belge Açıklama,Movement Doc Description,String,max 255,,Opsiyonel,-,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Genel Bilgiler
Hareket Para Birimi,Currency Description,,,Öndeğeri TRY olarak gelir. Kullanıcı isterse 1.6. Para Birimler listesinden seçim yapabilir.,Zorunlu,,Filtrelenebilir,,Evet,Genel Bilgiler
Hareket Kur,Currency Exchange Rate,,,"Hareket Para Birimi TRY ise bu alan readonly ""1,00000"" değeri getirilmelidir. TRY dışında bir değer ise 1.6. Para Birimler""Ön Değer Kur"" alanı getirilir. Kullanıcı diğer kur değerlerinden birini seçebilir veya manuel kur verisi girebilir.",Zorunlu,,Filtrelenebilir,,Evet,Genel Bilgiler
Kart Tipi,Card Type,Enum değer listesinden seçilir:MüşteriTedarikçiGelir/Gider,,Müşteri,Zorunlu,,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Hayır,Genel Bilgiler
Kart Kod - Ad,Card Code - Name,"Kart Tipine bağlı olarak4.1.1 Müşteri Kartları4.1.3 Tedarikçi Kartları4.1.11 Gelir/Gider Kartılistesinden seçilirSeçim ekranında görüntülenmesi gereken veri ""Kart Kategori Kodu.Kod - Kart Ad (Para Birimi) - Bakiye (Borç/Alacak) "" şeklinde olmalı ve kullanıcı bu seçim ekranında görüntülenen kartların Bakiye bilgisini de görebilmelidir.Örn:120.01.0001- X MÜŞTERİ (TRY) - 1.000,00 (B)",,,Zorunlu,,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",Evet,Genel Bilgiler
Kart Para Birimi,Currency,Kart Kod - Ad alanında seçilen kartın para birimi buraya getirilir ve değiştirilemez.,,,Readonly,,Filtrelenebilir,"""Alfabetik"" veya ""Ters-Alfabetik""",,Genel Bilgiler
